unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
3780,cydno,cydno cydnides Heliconius,,,,macho,Pereira distrito de COL RI,,,m,,,1886,"Valencia, R.M.",BMNH,,NEIL ROSSER,,4.816666667,-75.71666667,Brown
3781,cydno,cydno cydnides Heliconius,,,,macho,Manizales COL CD,,,m,,,,"Pati�o, A.M.",BMNH,,NEIL ROSSER,,5.083333333,-75.53333333,Brown
3784,cydno,cydno cydnides Heliconius,,,,macho,Popayan COL CC,,,m,,,,,BMNH,,NEIL ROSSER,,2.45,-76.6,Brown
3787,cydno,cydno cydnides Heliconius,,,,hembra,Pereira distrito de COL RI,,,m,,,1886,"Valencia, R.M.",BMNH,,NEIL ROSSER,,4.816666667,-75.71666667,Brown
3788,cydno,cydno cydnides Heliconius,,,,hembra,Manizales COL CD,,,m,,,,"Pati�o, A.M.",BMNH,,NEIL ROSSER,,5.083333333,-75.53333333,Brown
3791,cydno,cydno cydnides Heliconius,,,,hembra,Popayan COL CC,,,m,,,1897,,BMNH,,NEIL ROSSER,,2.45,-76.6,Brown
3792,cydno,cydno cydnides Heliconius,,,,hembra,Calima Rio COL VC,,,m,7,3,1968,Kieffer,BMNH,,NEIL ROSSER,,3.933333333,-76.51666667,Brown
3794,cydno,cydno cydnides Heliconius,,,f. subcydnides,macho,Antigua,,,m,,,,,BMNH,,NEIL ROSSER,,,,unknown
3795,cydno,cydno cydnides Heliconius,,,f. subcydnides,macho,Frontino COL AN,,,m,,,,"Salmon, T.K.",BMNH,,NEIL ROSSER,,6.766666667,-76.13333333,Brown
3796,cydno,cydno cydnides Heliconius,,,f. subcydnides,macho,Frontino COL AN,,,m,,,,"Salmon, T.K.",BMNH,,NEIL ROSSER,,6.766666667,-76.13333333,Brown
3800,cydno,cydno cydnides Heliconius,,,f. werneri,macho,Cali COL VC,1000,1000,?,,,,,BMNH,,NEIL ROSSER,,3.45,-76.51666667,Brown
3801,cydno,cydno cydnides Heliconius,,,f. subcydnides,hembra,Frontino COL AN,,,m,,,,"Salmon, T.K.",BMNH,,NEIL ROSSER,,6.766666667,-76.13333333,Brown
3802,cydno,cydno cydnides Heliconius,,,f. subcydnides,hembra,Frontino COL AN,,,m,,,,"Salmon, T.K.",BMNH,,NEIL ROSSER,,6.766666667,-76.13333333,Brown
9273,cydno,cydno cydnides Heliconius,,,f. werneri,macho,Calima Valley 45km w of Buga COL VC,,,m,,8,,,MGCL/FLMNH,1921? 1990?1998?,NEIL ROSSER,,3.899233333,-76.62986944,Google Earth
