unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
3886,cydno,cydno weymeri Heliconius,ST,"weymeri Heliconius cydno (Heliconius, O. Staudinger 1897)",,macho,Dagua Rio COL VC,,,m,,,,,BMNH,,NEIL ROSSER,,3.55,-76.65,Brown
3888,cydno,cydno weymeri Heliconius,ST,"weymeri Heliconius cydno (Heliconius, O. Staudinger 1897)",,hembra,Dagua Rio COL VC,,,m,,,,,BMNH,,NEIL ROSSER,,3.55,-76.65,Brown
3889,cydno,cydno weymeri Heliconius,,,,macho,Tocota COL VC,2000,2000,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.525833333,-76.65,Falling Rain
3890,cydno,cydno weymeri Heliconius,,,,macho,Aguacatal Rio COL VC,1800,1800,m,,4,1909,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.466666667,-76.53333333,Brown
3891,cydno,cydno weymeri Heliconius,,,,macho,Aguacatal Rio COL VC,2000,2000,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.466666667,-76.53333333,Brown
3892,cydno,cydno weymeri Heliconius,,,,macho,Villa Eloira COL VC,1800,1800,m,,,1908,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.519444444,-76.59861111,Falling Rain
3893,cydno,cydno weymeri Heliconius,,,,macho,Popayan COL CC,,,m,,,1895,,BMNH,,NEIL ROSSER,,2.45,-76.6,Brown
3895,cydno,cydno weymeri Heliconius,,,,hembra,Dagua Rio COL VC,,,m,,,,,BMNH,,NEIL ROSSER,,3.55,-76.65,Brown
3896,cydno,cydno weymeri Heliconius,,,,hembra,San Antonio COL VC,1800,1800,m,,5,1909,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.499844444,-76.63273611,Geonames
3897,cydno,cydno weymeri Heliconius,,,,hembra,Aguacatal Rio COL VC,2000,2000,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.466666667,-76.53333333,Brown
3898,cydno,cydno weymeri Heliconius,,,,hembra,Villa Eloira COL VC,1800,1800,m,4,7,1908,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.519444444,-76.59861111,Falling Rain
3899,cydno,cydno weymeri Heliconius,ST,"sulphureomaculata Heliconius cydno (Heliconius, A.H. Fassl 1914)",,hembra,Aguacatal Rio COL VC,2000,2000,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.466666667,-76.53333333,Brown
3900,cydno,cydno weymeri Heliconius,,,,macho,Dagua Rio COL VC,,,m,,,,,BMNH,,NEIL ROSSER,,3.55,-76.65,Brown
3901,cydno,cydno weymeri Heliconius,ST,"submarginatus Heliconius weymeri (Heliconius, A.H. Fassl 1912)",,macho,Aguacatal Rio COL VC,2000,2000,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.466666667,-76.53333333,Brown
