unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
3774,cydno,cydno zelinde Heliconius,,,f. confluens,macho,Valdivia COL AN,,,m,,,1897,Pratt,BMNH,,NEIL ROSSER,,7.15,-75.45,Brown
3776,cydno,cydno zelinde Heliconius,,,f. confluens,hembra,Valdivia COL AN,,,m,,,1897,Pratt,BMNH,,NEIL ROSSER,,7.15,-75.45,Brown
3848,cydno,cydno zelinde Heliconius,,,,macho,San Pablo COL CH,,,m,,,,,BMNH,,NEIL ROSSER,,5.216666667,-76.65,Brown
3849,cydno,cydno zelinde Heliconius,,,,macho,Juntas Rio Tamana COL CH,400,400,ft,,2,1909,"Palmer, G.M.",BMNH,,NEIL ROSSER,,4.983333333,-76.4,Brown
3850,cydno,cydno zelinde Heliconius,,,,macho,El Tigre COL CH,320,320,ft,,2,1909,"Palmer, G.M.",BMNH,,NEIL ROSSER,,4.95,-76.51666667,Brown
3851,cydno,cydno zelinde Heliconius,,,,macho,Condoto COL CH,150,150,ft,,,,"Palmer, G.M.",BMNH,,NEIL ROSSER,,5.096666667,-76.65027778,Falling Rain
3852,cydno,cydno zelinde Heliconius,,,,macho,Dagua Rio COL VC,,,m,,,,"Rosenberg, W.F.H.",BMNH,,NEIL ROSSER,,3.55,-76.65,Brown
3854,cydno,cydno zelinde Heliconius,,,,hembra,San Pablo COL CH,,,m,,,,,BMNH,,NEIL ROSSER,,5.216666667,-76.65,Brown
3855,cydno,cydno zelinde Heliconius,,,,hembra,La Selva COL CH,4600,4600,ft,,10,1909,,BMNH,,NEIL ROSSER,,4.916666667,-76.15,Falling Rain
3856,cydno,cydno zelinde Heliconius,,,,hembra,Micay (San Juan de) COL CC,,,m,,8,1896,,BMNH,,NEIL ROSSER,,2.933333333,-77.38333333,Brown
3879,cydno,cydno zelinde Heliconius,ST,"zelinde Heliconius cydno (Heliconius, A.G. Butler 1869)",,macho,West coast of America,,,m,,,,Kellet and Wood,BMNH,,NEIL ROSSER,,,,unknown
3880,cydno,cydno zelinde Heliconius,,,,macho,Dagua Rio COL VC,600,1000,m,,,,,BMNH,,NEIL ROSSER,,3.55,-76.65,Brown
3881,cydno,cydno zelinde Heliconius,,,,macho,Putumayo COL,,,m,,,,,BMNH,,NEIL ROSSER,,,,unknown
3884,cydno,cydno zelinde Heliconius,HT,"albidior Heliconius cydno (Heliconius, H. Neustetter 1928)",f. albidior,macho,Montegoa(?) rio COL PU,,,m,,,,,BMNH,,NEIL ROSSER,,,,unknown
3885,cydno,cydno zelinde Heliconius,,,f. albidior,macho,Dagua Rio COL VC,800,800,m,,,,,BMNH,,NEIL ROSSER,,3.55,-76.65,Brown
3887,cydno,cydno zelinde Heliconius,,,,hembra,Dagua Rio COL VC,180,180,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.55,-76.65,Brown
3951,cydno,cydno zelinde Heliconius,,,f. zelinde,macho,Esmeraldas ECD ES,,,m,,,,Lehmann,BMNH,,NEIL ROSSER,,0.983333333,-79.7,Brown
9297,cydno,cydno zelinde Heliconius,,,yellow morph,hembra,Calima rio below dam COL VC,1300,1300,m,24,1,1976,,MGCL/FLMNH,,NEIL ROSSER,,3.883333333,-76.6,Brown
9298,cydno,cydno zelinde Heliconius,,,,macho,Calima bajo COL VC,300,300,ft,20,1,1988,"Bolling Sullivan, J.",MGCL/FLMNH,,NEIL ROSSER,,3.996388889,-76.97444444,Geonames
9299,cydno,cydno zelinde Heliconius,,,,hembra,Anchicaya COL VC,650,650,m,3,2,1989,"Bolling Sullivan, J.",MGCL/FLMNH,,NEIL ROSSER,,3.533333333,-76.8675,Geonames + Google Earth
9300,cydno,cydno zelinde Heliconius,,,,macho,Junction Old Buenaventura rd and Rio Tatabro COL VC,,,m,2,2,1987,"Bolling Sullivan, J.",MGCL/FLMNH,,NEIL ROSSER,,3.7,-76.96666667,Google Earth
9301,cydno,cydno zelinde Heliconius,,,,macho,Junction Old Buenaventura rd and Rio Tatabro COL VC,,,m,4,2,1987,"Bolling Sullivan, J.",MGCL/FLMNH,,NEIL ROSSER,,3.7,-76.96666667,Google Earth
9302,cydno,cydno zelinde Heliconius,,,,macho,Calima Dam COL VC,3000,3000,ft,6,2,1987,"Bolling Sullivan, J.",MGCL/FLMNH,,NEIL ROSSER,,3.89205,-76.500779,Google Earth
9303,cydno,cydno zelinde Heliconius,,,,macho,"Rodea, Iscuande COL NA",30,30,ft,23,8,1977,,MGCL/FLMNH,,NEIL ROSSER,,2.444983333,-77.97110278,Google Earth
9304,cydno,cydno zelinde Heliconius,,,,hembra,Calima Dam COL VC,5000,5000,ft,5,12,1975,"Bolling Sullivan, J.",MGCL/FLMNH,,NEIL ROSSER,,3.89205,-76.500779,Google Earth
9305,cydno,cydno zelinde Heliconius,,,,hembra,Cali COL VC,,,m,13,8,1967,,MGCL/FLMNH,,NEIL ROSSER,,3.45,-76.51666667,Brown
9306,cydno,cydno zelinde Heliconius,,,,hembra,Guapi COL CC,0,0,m,10,1,1985,"Bolling Sullivan, J.",MGCL/FLMNH,,NEIL ROSSER,,2.553888889,-77.85833333,NIMA
9307,cydno,cydno zelinde Heliconius,,,,macho,Anchicaya Rio COL VC,1150,1150,m,2,2,1975,"Steinhauser, S. & L.",MGCL/FLMNH,,NEIL ROSSER,,3.716666667,-76.95,Brown
9308,cydno,cydno zelinde Heliconius,,,,macho,Anchicaya Rio COL VC,1150,1150,m,15,2,1975,"Steinhauser, S. & L.",MGCL/FLMNH,,NEIL ROSSER,,3.716666667,-76.95,Brown
9309,cydno,cydno zelinde Heliconius,,,,macho,Anchicaya Rio COL VC,1150,1150,m,25,1,1975,"Steinhauser, S. & L.",MGCL/FLMNH,,NEIL ROSSER,,3.716666667,-76.95,Brown
9310,cydno,cydno zelinde Heliconius,,,,macho,Calima COL VC,,,m,,4,1993,"Simon, M.",MGCL/FLMNH,,NEIL ROSSER,,3.933333333,-76.51666667,www.calle.com
9311,cydno,cydno zelinde Heliconius,,,,macho,Calima COL VC,,,m,,4,1993,"Simon, M.",MGCL/FLMNH,,NEIL ROSSER,,3.933333333,-76.51666667,www.calle.com
9312,cydno,cydno zelinde Heliconius,,,,macho,Calima Valley 45km w of Buga COL VC,1200,1200,m,,8,1989,,MGCL/FLMNH,,NEIL ROSSER,,3.899233333,-76.62986944,Google Earth
9313,cydno,cydno zelinde Heliconius,,,,hembra,Calima COL VC,,,m,,4,1993,"Simon, M.",MGCL/FLMNH,,NEIL ROSSER,,3.933333333,-76.51666667,www.calle.com
9314,cydno,cydno zelinde Heliconius,,,,macho,Calima Dam COL VC,5000,5000,ft,6,12,1975,"Sullivan, J.B.",MGCL/FLMNH,,NEIL ROSSER,,3.89205,-76.500779,Google Earth
9315,cydno,cydno zelinde Heliconius,,,,macho,"Rodea, Iscuande COL NA",,,m,23,8,1977,"Hutchings, R.W.",MGCL/FLMNH,,NEIL ROSSER,,2.444983333,-77.97110278,Google Earth
9317,cydno,cydno zelinde Heliconius,,,,hembra,Bravo Rio COL,,,m,,10,1984,,MGCL/FLMNH,,NEIL ROSSER,,3.893055556,-76.62166667,NIMA
9318,cydno,cydno zelinde Heliconius,,,,macho,Calima rio below dam COL VC,1300,1300,m,24,1,1976,"Steinhauser, S. & L.",MGCL/FLMNH,,NEIL ROSSER,,3.883333333,-76.6,Brown
16010,cydno,cydno zelinde Heliconius,,,,unknown,Calima - Tal COL VC,,,m,,,,,FLMNH (not labelled) - Accessions (2nd floor),,NEIL ROSSER,,3.89205,-76.500779,Brown
16011,cydno,cydno zelinde Heliconius,,,,unknown,Cosumbo River x Pital River COL VC,900,900,m,,,,,FLMNH (not labelled) - Accessions (2nd floor),,NEIL ROSSER,,,,unknown
18728,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18751,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18752,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
