unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
870,besckei,besckei Heliconius,,,,desconocido,Caxambu BRA MG,,,m,,,,,KB 1979,,NEIL ROSSER,,-21.98333333,-44.93333333,Brown
1014,besckei,besckei Heliconius,,,,desconocido,Guapimirim BRA RJ,,,m,,,,,KB 1979,,NEIL ROSSER,,-22.53333333,-42.98333333,Brown
1018,besckei,besckei Heliconius,,,,desconocido,Guarapuava BRA PR,,,m,,,,,KB 1979,,NEIL ROSSER,,-25.38333333,-51.45,NIMA
1078,besckei,besckei Heliconius,,,,desconocido,Leopoldina BRA ME,,,m,,,,,KB 1979,,NEIL ROSSER,,-21.53333333,-42.63333333,NIMA
1200,besckei,besckei Heliconius,,,,desconocido,Pocos de Caldas BRA ME,,,m,,,,,KB 1979,,NEIL ROSSER,,-21.78333333,-46.55,Brown
1244,besckei,besckei Heliconius,,,,desconocido,Salobra BRA MS,,,m,,,,,KB 1979,,NEIL ROSSER,,-20.2,-56.53333333,Brown
1305,besckei,besckei Heliconius,,,,desconocido,Santa Maria BRA RS,,,m,,,,,KB 1979,,NEIL ROSSER,,-29.68333333,-53.8,Brown
1307,besckei,besckei Heliconius,,,,desconocido,Santa Maria de Taguatinga BRA GO,,,m,,,,,KB 1979,,NEIL ROSSER,,-12.4,-46.43333333,Brown
1401,besckei,besckei Heliconius,,,,desconocido,Vicosa BRA ME,,,m,,,,,KB 1979,,NEIL ROSSER,,-20.75,-42.88333333,Brown
1416,besckei,besckei Heliconius,,,,desconocido,Vila Velha BRA PR,,,m,,,,,KB 1979,,NEIL ROSSER,,-25.13333333,-49.96666667,Brown
3155,besckei,besckei Heliconius,,,,macho,Nova Friburgo BRA RJ,,,m,,,1884,"Germain, P.",BMNH,Apr - May,NEIL ROSSER,,-22.28333333,-42.55,Brown
3156,besckei,besckei Heliconius,,,,macho,Nova Friburgo BRA RJ,,,m,,,1884,"Germain, P.",BMNH,Apr - May,NEIL ROSSER,,-22.28333333,-42.55,Brown
3157,besckei,besckei Heliconius,,,,macho,Petropolis BRA RJ,,,m,,,,,BMNH,,NEIL ROSSER,,-22.53333333,-43.18333333,Brown
3158,besckei,besckei Heliconius,,,,macho,Rio de Janeiro - National Park BRA RJ,,,m,22,10,1945,"Zik�n, J.",BMNH,,NEIL ROSSER,,-22.94916667,-43.29944444,Geonames
3159,besckei,besckei Heliconius,,,,macho,Itaquaquetetuba BRA SP,,,m,20,8,,,BMNH,,NEIL ROSSER,,-23.46666667,-46.35,Brown
3160,besckei,besckei Heliconius,,,,macho,Passa Quatro BRA ME,,,m,3,4,1922,"Zik�n, J.",BMNH,,NEIL ROSSER,,-22.38333333,-44.96666667,Brown
3161,besckei,besckei Heliconius,,,,macho,Sao Paulo BRA SP,,,m,,,,,BMNH,,NEIL ROSSER,,-23.53333333,-46.61666667,Brown
3162,besckei,besckei Heliconius,,,,macho,Castro BRA PN,,,m,,,,"Jones, E.D.",BMNH,,NEIL ROSSER,,-24.78333333,-50.01666667,Brown
3163,besckei,besckei Heliconius,,,,macho,Theresopolis BRA SC,,,m,,,,Michalis,BMNH,,NEIL ROSSER,,-27.73333333,-48.93333333,NIMA
3164,besckei,besckei Heliconius,,,,macho,Theresopolis BRA SC,,,m,,,,Michalis,BMNH,,NEIL ROSSER,,-27.73333333,-48.93333333,NIMA
3165,besckei,besckei Heliconius,,,,macho,Blumenau BRA SC,,,m,,,,,BMNH,,NEIL ROSSER,,-26.91666667,-49.06666667,Brown
3166,besckei,besckei Heliconius,,,,macho,Jundiahy BRA SP,,,m,,,,,BMNH,,NEIL ROSSER,,-23.18333333,-46.86666667,Falling Rain
3167,besckei,besckei Heliconius,,,,hembra,Marumba R BRA ME,,,m,25,11,1925,Sehade,BMNH,,NEIL ROSSER,,-17.4,-41.4,NIMA
3168,besckei,besckei Heliconius,,,,hembra,Nova Friburgo BRA RJ,,,m,,,1884,"Germain, P.",BMNH,Apr-May,NEIL ROSSER,,-22.28333333,-42.55,Brown
3169,besckei,besckei Heliconius,,,,hembra,Nova Friburgo BRA RJ,,,m,,2,1884,"Germain, P.",BMNH,,NEIL ROSSER,,-22.28333333,-42.55,Brown
3170,besckei,besckei Heliconius,,,,hembra,Itaquaquetetuba BRA SP,,,m,15,8,,"Townsend, C.H.T.",BMNH,,NEIL ROSSER,,-23.46666667,-46.35,Brown
3171,besckei,besckei Heliconius,,,,hembra,Sao Paulo BRA SP,,,m,,,,,BMNH,,NEIL ROSSER,,-23.53333333,-46.61666667,Brown
3172,besckei,besckei Heliconius,,,,hembra,Teresopolis BRA RJ,,,m,,,,,BMNH,,NEIL ROSSER,,-22.45,-43.01666667,Label
3173,besckei,besckei Heliconius,,,,hembra,Teresopolis BRA RJ,,,m,,,,,BMNH,,NEIL ROSSER,,-22.45,-43.01666667,Label
3174,besckei,besckei Heliconius,,,,macho,Sao Paulo BRA SP,,,m,,,,"Jones, D.",BMNH,,NEIL ROSSER,,-23.53333333,-46.61666667,Brown
3175,besckei,besckei Heliconius,,,,macho,Sao Paulo BRA SP,,,m,,,,"Jones, D.",BMNH,,NEIL ROSSER,,-23.53333333,-46.61666667,Brown
7164,besckei,besckei Heliconius,,,,macho,Santa Catarina BRA SC,,,m,,1,1970,Kesselring,MGCL/FLMNH,,NEIL ROSSER,,-22.11666667,-45.5,www.calle.com
7165,besckei,besckei Heliconius,,,,macho,Santa Catarina BRA SC,,,m,,1,1970,Kesselring,MGCL/FLMNH,,NEIL ROSSER,,-22.11666667,-45.5,www.calle.com
7166,besckei,besckei Heliconius,,,,macho,Santa Catarina BRA SC,,,m,,1,1970,Kesselring,MGCL/FLMNH,,NEIL ROSSER,,-22.11666667,-45.5,www.calle.com
7167,besckei,besckei Heliconius,,,,macho,Santa Catarina BRA SC,,,m,,1,1970,Kesselring,MGCL/FLMNH,,NEIL ROSSER,,-22.11666667,-45.5,www.calle.com
7168,besckei,besckei Heliconius,,,,macho,Sao Bento do Sul BRA SC,,,m,16,3,1984,"Covell, C.",MGCL/FLMNH,,NEIL ROSSER,,-26.25,-49.38333333,Brown
7169,besckei,besckei Heliconius,,,,macho,Tijucas do Sul km69 BRA PN,,,m,15,3,1984,RJW,MGCL/FLMNH,,NEIL ROSSER,,-25.95452778,-48.91919167,Google Earth
7170,besckei,besckei Heliconius,,,,macho,Sao Bento do Sul BRA SC,,,m,11,3,1984,RJW,MGCL/FLMNH,,NEIL ROSSER,,-26.25,-49.38333333,Brown
7171,besckei,besckei Heliconius,,,,macho,Sao Luiz do Puruna BRA PN,,,m,16,3,1984,"Covell, C.",MGCL/FLMNH,,NEIL ROSSER,,-25.41666667,-49.61666667,Geonames
7172,besckei,besckei Heliconius,,,,hembra,"Rio do Julio, 36km E of Sao Bento do Sul BRA SC",2650,2650,ft,12,3,1984,RJW,MGCL/FLMNH,,NEIL ROSSER,,-26.28333333,-49.11666667,unknown
7173,besckei,besckei Heliconius,,,,hembra,"Sao Luiz do Purana, 40km W of Curitiba BRA PN",,,m,16,3,1984,"Olson, E.C.",MGCL/FLMNH,,NEIL ROSSER,,-25.41666667,-49.61666667,Geonames
7175,besckei,besckei Heliconius,,,,macho,Sao Bento do Sul BRA SC,,,m,10,3,1984,"Jenkins, D.W.",MGCL/FLMNH,,NEIL ROSSER,,-26.25,-49.38333333,Brown
7176,besckei,besckei Heliconius,,,,macho,Sao Bento do Sul BRA SC,,,m,10,3,1984,"Jenkins, D.W.",MGCL/FLMNH,,NEIL ROSSER,,-26.25,-49.38333333,Brown
7177,besckei,besckei Heliconius,,,,macho,Sao Bento do Sul BRA SC,,,m,,2,1984,Rank,MGCL/FLMNH,,NEIL ROSSER,,-26.25,-49.38333333,Brown
7178,besckei,besckei Heliconius,,,,macho,Sao Bento do Sul BRA SC,,,m,10,3,1984,"Jenkins, D.W.",MGCL/FLMNH,,NEIL ROSSER,,-26.25,-49.38333333,Brown
7179,besckei,besckei Heliconius,,,,macho,Sao Bento do Sul BRA SC,,,m,10,3,1984,"Jenkins, D.W.",MGCL/FLMNH,,NEIL ROSSER,,-26.25,-49.38333333,Brown
7180,besckei,besckei Heliconius,,,,hembra,Joinville BRA SC,,,m,,2,1984,Miers,MGCL/FLMNH,,NEIL ROSSER,,-26.3,-48.86666667,Brown
7181,besckei,besckei Heliconius,,,,hembra,Sao Bento do Sul BRA SC,,,m,10,3,1984,"Jenkins, D.W.",MGCL/FLMNH,,NEIL ROSSER,,-26.25,-49.38333333,Brown
7182,besckei,besckei Heliconius,,,,macho,Sao Bento do Sul BRA SC,,,m,10,2,,"Jenkins, D.W.",MGCL/FLMNH,,NEIL ROSSER,,-26.25,-49.38333333,Brown
