unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
808,elevatus,elevatus elevatus Heliconius,,,,desconocido,Benjamin Constant BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-4.383333333,-70.03333333,Brown
991,elevatus,elevatus elevatus Heliconius,,,,desconocido,Florida COL AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-1.133333333,-73.91666667,Brown
999,elevatus,elevatus elevatus Heliconius,,,,desconocido,Fonte Boa BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-2.516666667,-66.08333333,Brown
1333,elevatus,elevatus elevatus Heliconius,,,,desconocido,Sao Paulo de Olivenca BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.466666667,-68.95,Brown
1420,elevatus,elevatus elevatus Heliconius,,,,desconocido,Yahuas Territory PER LO,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.35,-71.98333333,"Gerardo Lamas, unpub. gazetteer"
16551,elevatus,elevatus elevatus Heliconius,,,Was labelled elevatus pseudocupidineus Heliconius - JM thought probable error for elevatus elevatus,unknown,Mendez - Santiago rd km 40 ECD MS,750,750,m,,,1996,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-2.987469444,-78.21384722,Google Earth
16555,elevatus,elevatus elevatus Heliconius,,,Was labelled elevatus pseudocupidineus Heliconius - JM thought probable error for elevatus elevatus,unknown,Pumayacu Rio Macas ECD MS,,,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-2.316666667,-78.11666667,Geonames
16557,elevatus,elevatus elevatus Heliconius,,,,unknown,Pitirishca ECD PA,800,800,m,,,2000,godefroi and busby,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.805,-77.82083333,Map
16774,elevatus,elevatus elevatus Heliconius,,,,unknown,Chazuta PER SM,,,m,,,,,NHM (not labelled) -  Supplementary collection,,NEIL ROSSER,,-6.566666667,-76.13333333,"Gerardo Lamas, unpub. gazetteer"
16775,elevatus,elevatus elevatus Heliconius,,,,unknown,Yurimaguas PER LO,,,m,,,,,NHM (not labelled) -  Supplementary collection,,NEIL ROSSER,,-5.9,-76.1,"Gerardo Lamas, unpub. gazetteer"
16776,elevatus,elevatus elevatus Heliconius,,,,unknown,Iquitos PER LO,,,m,,,,,NHM (not labelled) -  Supplementary collection,,NEIL ROSSER,,-3.75,-73.25,"Gerardo Lamas, unpub. gazetteer"
16777,elevatus,elevatus elevatus Heliconius,,,,unknown,Pebas PER LO,,,m,,,,,NHM (not labelled) -  Supplementary collection,,NEIL ROSSER,,-3.316666667,-71.85,"Gerardo Lamas, unpub. gazetteer"
20463,elevatus,elevatus elevatus Heliconius,,,,macho,Tonantins BRA AM,,,m,,Nov,1991,,FLMNH,,Samuel Landrian,,-2.866666667,-67.8,Brown
